,t1,t2,score
1722061,Percy Jackson & the Olympians: The Lightning Thief,Percy Jackson & The Olympians: The Lightning Thief,0.02
734319,"The Twilight Saga: Breaking Dawn, Part 1",The Twilight Saga: Breaking Dawn Part 1,0.025
758323,"The Twilight Saga: Breaking Dawn, Part 2",The Twilight Saga: Breaking Dawn Part 2,0.025
1031893,Fantastic Beasts and Where to Find Them,Fantastic Beasts and Where To Find Them,0.02564102564102564
713981,A Million Ways to Die in The West,A Million Ways to Die in the West,0.030303030303030304
718303,Thunder and the House of Magic,Thunder and the House of Magic!,0.03225806451612903
433906,In The Land of Blood and Honey,In the Land of Blood and Honey,0.03333333333333333
490085,Guardians of the Galaxy Vol 2,Guardians of the Galaxy Vol. 2,0.03333333333333333
1661801,House at the End of the Street,House at the End of The Street,0.03333333333333333
1602711,Cirque du Soleil: Worlds Away,Cirque Du Soleil: Worlds Away,0.034482758620689655
494789,Hoodwinked Too: Hood vs. Evil,Hoodwinked Too! Hood vs. Evil,0.034482758620689655
1218393,Scott Pilgrim vs. The World,Scott Pilgrim vs. the World,0.037037037037037035
544629,Glee: The 3D Concert Movie,Glee The 3D Concert Movie,0.038461538461538464
589325,Oz the Great and Powerful,Oz The Great and Powerful,0.04
1169858,Ralph Breaks The Internet,Ralph Breaks the Internet,0.04
624302,How to Be a Latin Lover,How to be a Latin Lover,0.043478260869565216
135397,Jimi: All is By My Side,Jimi: All Is By My Side,0.043478260869565216
1221088,300: Rise of an Empire,300: Rise of An Empire,0.045454545454545456
382692,Tucker & Dale vs. Evil,Tucker & Dale Vs. Evil,0.045454545454545456
454488,The Fault in Our Stars,The Fault in our Stars,0.045454545454545456
1304229,Harry Potter and the Deathly Hallows: Part I,Harry Potter and the Deathly Hallows Part 2,0.045454545454545456
1183145,Mr. Poppers's Penguins,Mr. Popper's Penguins,0.045454545454545456
1304002,Harry Potter and the Deathly Hallows: Part I,Harry Potter and the Deathly Hallows Part 1,0.045454545454545456
