,id,release_date,movie,production_budget,domestic_gross_x,worldwide_gross,date,year,t1,t2,score,title,studio,domestic_gross_y,foreign_gross,world_gross,dg_diff
41,17,"Feb 12, 2010",Percy Jackson & the Olympians: The Lightning Thief,95000000.0,88768303.0,223050874.0,2010-02-12,2010,Percy Jackson & the Olympians: The Lightning Thief,Percy Jackson & The Olympians: The Lightning Thief,0.02,Percy Jackson & The Olympians: The Lightning Thief,Fox,88800000.0,137700000.0,226500000.0,-31697.0
23,57,"Nov 18, 2011","The Twilight Saga: Breaking Dawn, Part 1",127500000.0,281287133.0,689420051.0,2011-11-18,2011,"The Twilight Saga: Breaking Dawn, Part 1",The Twilight Saga: Breaking Dawn Part 1,0.025,The Twilight Saga: Breaking Dawn Part 1,Sum.,281300000.0,430900000.0,712200000.0,-12867.0
22,25,"Nov 16, 2012","The Twilight Saga: Breaking Dawn, Part 2",136200000.0,292324737.0,829724737.0,2012-11-16,2012,"The Twilight Saga: Breaking Dawn, Part 2",The Twilight Saga: Breaking Dawn Part 2,0.025,The Twilight Saga: Breaking Dawn Part 2,LG/S,292300000.0,537400000.0,829700000.0,24737.0
11,85,"Nov 18, 2016",Fantastic Beasts and Where to Find Them,180000000.0,234037575.0,802402853.0,2016-11-18,2016,Fantastic Beasts and Where to Find Them,Fantastic Beasts and Where To Find Them,0.02564102564102564,Fantastic Beasts and Where To Find Them,WB,234000000.0,580000000.0,814000000.0,37575.0
91,48,"May 30, 2014",A Million Ways to Die in The West,40000000.0,42720965.0,86778557.0,2014-05-30,2014,A Million Ways to Die in The West,A Million Ways to Die in the West,0.030303030303030304,A Million Ways to Die in the West,Uni.,43100000.0,44100000.0,87200000.0,-379035.0
108,68,"Sep 5, 2014",Thunder and the House of Magic,34000000.0,4091.0,62582520.0,2014-09-05,2014,Thunder and the House of Magic,Thunder and the House of Magic!,0.03225806451612903,Thunder and the House of Magic!,Shout!,4100.0,64200000.0,64204100.0,-9.0
173,10,"Dec 23, 2011",In The Land of Blood and Honey,13000000.0,303877.0,509193.0,2011-12-23,2011,In The Land of Blood and Honey,In the Land of Blood and Honey,0.03333333333333333,In the Land of Blood and Honey,FD,304000.0,,,-123.0
187,73,"Sep 21, 2012",House at the End of the Street,6900000.0,31611916.0,44103982.0,2012-09-21,2012,House at the End of the Street,House at the End of The Street,0.03333333333333333,House at the End of The Street,Rela.,31600000.0,12700000.0,44300000.0,11916.0
4,49,"May 5, 2017",Guardians of the Galaxy Vol 2,200000000.0,389813101.0,862316233.0,2017-05-05,2017,Guardians of the Galaxy Vol 2,Guardians of the Galaxy Vol. 2,0.03333333333333333,Guardians of the Galaxy Vol. 2,BV,389800000.0,473900000.0,863700000.0,13101.0
137,77,"Dec 21, 2012",Cirque du Soleil: Worlds Away,25000000.0,12512862.0,28012862.0,2012-12-21,2012,Cirque du Soleil: Worlds Away,Cirque Du Soleil: Worlds Away,0.034482758620689655,Cirque Du Soleil: Worlds Away,Par.,12500000.0,21600000.0,34100000.0,12862.0
121,79,"Apr 29, 2011",Hoodwinked Too: Hood vs. Evil,30000000.0,10143779.0,23353111.0,2011-04-29,2011,Hoodwinked Too: Hood vs. Evil,Hoodwinked Too! Hood vs. Evil,0.034482758620689655,Hoodwinked Too! Hood vs. Evil,Wein.,10100000.0,6800000.0,16900000.0,43779.0
50,22,"Aug 13, 2010",Scott Pilgrim vs. The World,85000000.0,31611316.0,48056764.0,2010-08-13,2010,Scott Pilgrim vs. The World,Scott Pilgrim vs. the World,0.037037037037037035,Scott Pilgrim vs. the World,Uni.,31500000.0,16100000.0,47600000.0,111316.0
