,id,release_date,movie,production_budget,domestic_gross_x,worldwide_gross,date,year,t1,t2,score,title,studio,domestic_gross_y,foreign_gross,world_gross,dg_diff
166,97,26-Nov-10,The Kingâs Speech,15000000,138797449,430821168,11/26/10,2010,The Kingâs Speech,The King's Speech,0.157894737,The King's Speech,Wein.,135500000,275400000,410900000,3297449
122,86,14-Jan-11,Barney's Version,30000000,7502560,8845575,1/14/11,2011,Barney's Version,Barney's Version (U.S. only),0.428571429,Barney's Version (U.S. only),SPC,4400000,4000000,8400000,3102560
24,61,15-Jul-11,Harry Potter and the Deathly Hallows: Part II,125000000,381193157,1341693157,7/15/11,2011,Harry Potter and the Deathly Hallows: Part II,Harry Potter and the Deathly Hallows Part 2,0.066666667,Harry Potter and the Deathly Hallows Part 2,WB,381000000,960500000,1341500000,193157
15,34,29-Jul-11,Cowboys and Aliens,163000000,100368560,176038324,7/29/11,2011,Cowboys and Aliens,Cowboys & Aliens,0.166666667,Cowboys & Aliens,Uni.,100200000,74600000,174800000,168560
25,64,19-Nov-10,Harry Potter and the Deathly Hallows: Part I,125000000,296131568,960431568,11/19/10,2010,Harry Potter and the Deathly Hallows: Part I,Harry Potter and the Deathly Hallows Part 1,0.045454545,Harry Potter and the Deathly Hallows Part 1,WB,296000000,664300000,960300000,131568
50,22,13-Aug-10,Scott Pilgrim vs. The World,85000000,31611316,48056764,8/13/10,2010,Scott Pilgrim vs. The World,Scott Pilgrim vs. the World,0.037037037,Scott Pilgrim vs. the World,Uni.,31500000,16100000,47600000,111316
90,16,21-Sep-18,The House with a Clock in its Walls,40000000,68549695,126331750,9/21/18,2018,The House with a Clock in its Walls,The House With A Clock In Its Walls,0.114285714,The House With A Clock In Its Walls,Uni.,68500000,62900000,131400000,49695
178,75,28-Apr-17,How to Be a Latin Lover,10000000,32149404,62556228,4/28/17,2017,How to Be a Latin Lover,How to be a Latin Lover,0.043478261,How to be a Latin Lover,PNT,32100000,29700000,61800000,49404
145,72,9-Dec-11,Tinker Tailor Soldier Spy,21000000,24149393,81452811,12/9/11,2011,Tinker Tailor Soldier Spy,"Tinker, Tailor, Soldier, Spy",0.107142857,"Tinker, Tailor, Soldier, Spy",Focus,24100000,56500000,80600000,49393
142,37,22-Aug-12,Hit & Run,22000000,13749300,17216955,8/22/12,2012,Hit & Run,Hit and Run,0.272727273,Hit and Run,ORF,13700000,704000,14404000,49300
29,80,21-Dec-16,Assassinâs Creed,125000000,54647948,240759682,12/21/16,2016,Assassinâs Creed,Assassin's Creed,0.166666667,Assassin's Creed,Fox,54600000,186300000,240900000,47948
92,70,25-Dec-11,Extremely Loud and Incredibly Close,40000000,31847881,55247881,12/25/11,2011,Extremely Loud and Incredibly Close,Extremely Loud & Incredibly Close,0.085714286,Extremely Loud & Incredibly Close,WB,31800000,23400000,55200000,47881
225,37,14-Jun-13,20 Feet From Stardom,1000000,4946250,5892466,6/14/13,2013,20 Feet From Stardom,20 Feet from Stardom,0.05,20 Feet from Stardom,RTWC,4900000,,,46250
133,92,22-Apr-11,Madea's Big Happy Family,25000000,53345287,54160818,4/22/11,2011,Madea's Big Happy Family,Tyler Perry's Madea's Big Happy Family,0.368421053,Tyler Perry's Madea's Big Happy Family,LGF,53300000,816000,54116000,45287
129,31,9-Dec-11,New Yearâs Eve,26000000,54544638,146850273,12/9/11,2011,New Yearâs Eve,New Year's Eve,0.1875,New Year's Eve,WB (NL),54500000,87500000,142000000,44638
98,45,21-Dec-12,This is 40,35000000,67544505,90221182,12/21/12,2012,This is 40,This Is 40,0.1,This Is 40,Uni.,67500000,20500000,88000000,44505
121,79,29-Apr-11,Hoodwinked Too: Hood vs. Evil,30000000,10143779,23353111,4/29/11,2011,Hoodwinked Too: Hood vs. Evil,Hoodwinked Too! Hood vs. Evil,0.034482759,Hoodwinked Too! Hood vs. Evil,Wein.,10100000,6800000,16900000,43779
171,44,12-Sep-14,No Good Deed,13200000,52543632,54323210,9/12/14,2014,No Good Deed,No Good Deed (2014),0.368421053,No Good Deed (2014),SGem,52500000,1800000,54300000,43632
95,98,12-Feb-16,How to be Single,37000000,46843513,100003780,2/12/16,2016,How to be Single,How to Be Single,0.0625,How to Be Single,WB (NL),46800000,65500000,112300000,43513
36,30,30-Sep-16,Miss Peregrineâs Home for Peculiar Children,110000000,87242834,295986876,9/30/16,2016,Miss Peregrineâs Home for Peculiar Children,Miss Peregrine's Home for Peculiar Children,0.066666667,Miss Peregrine's Home for Peculiar Children,Fox,87200000,209200000,296400000,42834
143,49,31-Oct-14,Before I Go to Sleep,22000000,3242457,19563579,10/31/14,2014,Before I Go to Sleep,Before I Go To Sleep,0.05,Before I Go To Sleep,CE,3200000,12200000,15400000,42457
19,68,31-Jul-15,Mission: ImpossibleâRogue Nation,150000000,195042377,688858992,7/31/15,2015,Mission: ImpossibleâRogue Nation,Mission: Impossible - Rogue Nation,0.088235294,Mission: Impossible - Rogue Nation,Par.,195000000,487700000,682700000,42377
191,19,11-May-18,Breaking In,6000000,46840590,51411620,5/11/18,2018,Breaking In,Breaking In (2018),0.388888889,Breaking In (2018),Uni.,46800000,4600000,51400000,40590
9,70,10-May-13,The Great Gatsby,190000000,144840419,351040419,5/10/13,2013,The Great Gatsby,The Great Gatsby (2013),0.304347826,The Great Gatsby (2013),WB,144800000,208800000,353600000,40419
94,75,20-Oct-17,Only the Brave,38000000,18340051,24555177,10/20/17,2017,Only the Brave,Only The Brave,0.071428571,Only The Brave,Sony,18300000,7400000,25700000,40051
144,64,16-Apr-10,Death at a Funeral,21000000,42739347,48977233,4/16/10,2010,Death at a Funeral,Death at a Funeral (2010),0.28,Death at a Funeral (2010),SGem,42700000,6300000,49000000,39347
126,16,28-Sep-18,Night School,29000000,77339130,103008792,9/28/18,2018,Night School,Night School (2018),0.368421053,Night School (2018),Uni.,77300000,25800000,103100000,39130
110,10,12-Oct-18,Bad Times at the El Royale,32000000,17839115,29204379,10/12/18,2018,Bad Times at the El Royale,Bad Times At The El Royale,0.076923077,Bad Times At The El Royale,Fox,17800000,14000000,31800000,39115
93,30,11-Nov-16,Billy Lynnâs Long Halftime Walk,40000000,1738477,30230402,11/11/16,2016,Billy Lynnâs Long Halftime Walk,Billy Lynn's Long Halftime Walk,0.090909091,Billy Lynn's Long Halftime Walk,TriS,1700000,29200000,30900000,38477
152,82,14-Feb-14,Endless Love,20000000,23438250,34718173,2/14/14,2014,Endless Love,Endless Love (2014),0.368421053,Endless Love (2014),Uni.,23400000,11300000,34700000,38250
172,58,14-Feb-14,About Last Night,13000000,48637684,50445860,2/14/14,2014,About Last Night,About Last Night (2014),0.304347826,About Last Night (2014),SGem,48600000,365000,48965000,37684
11,85,18-Nov-16,Fantastic Beasts and Where to Find Them,180000000,234037575,802402853,11/18/16,2016,Fantastic Beasts and Where to Find Them,Fantastic Beasts and Where To Find Them,0.025641026,Fantastic Beasts and Where To Find Them,WB,234000000,580000000,814000000,37575
43,55,23-Sep-16,The Magnificent Seven,90000000,93432655,162525156,9/23/16,2016,The Magnificent Seven,The Magnificent Seven (2016),0.25,The Magnificent Seven (2016),Sony,93400000,68900000,162300000,32655
102,80,25-Dec-15,Concussion,35000000,34531832,50363790,12/25/15,2015,Concussion,Concussion (2015),0.411764706,Concussion (2015),Sony,34500000,14100000,48600000,31832
63,63,2-Mar-12,Doctor Seuss' The Lorax,67500000,214030500,350976753,3/2/12,2012,Doctor Seuss' The Lorax,Dr. Seuss' The Lorax,0.217391304,Dr. Seuss' The Lorax,Uni.,214000000,134800000,348800000,30500
203,20,9-May-14,Momsâ Night Out,5000000,10429707,10537341,5/9/14,2014,Momsâ Night Out,Moms' Night Out,0.176470588,Moms' Night Out,TriS,10400000,,,29707
146,98,15-Oct-10,Jackass 3D,20000000,117229692,171685793,10/15/10,2010,Jackass 3D,Jackass 3-D,0.090909091,Jackass 3-D,Par.,117200000,54500000,171700000,29692
59,5,10-Nov-17,Daddyâs Home 2,70000000,104029443,175807183,11/10/17,2017,Daddyâs Home 2,Daddy's Home 2,0.1875,Daddy's Home 2,Par.,104000000,76600000,180600000,29443
71,95,10-Nov-17,Murder on the Orient Express,55000000,102826543,345922730,11/10/17,2017,Murder on the Orient Express,Murder on the Orient Express (2017),0.2,Murder on the Orient Express (2017),Fox,102800000,250000000,352800000,26543
65,83,5-Jun-15,Spy!,65000000,110825712,232585748,6/5/15,2015,Spy!,Spy,0.25,Spy,Fox,110800000,124800000,235600000,25712
100,62,22-May-15,Poltergeist,35000000,47425125,95713069,5/22/15,2015,Poltergeist,Poltergeist (2015),0.388888889,Poltergeist (2015),Fox,47400000,48000000,95400000,25125
22,25,16-Nov-12,"The Twilight Saga: Breaking Dawn, Part 2",136200000,292324737,829724737,11/16/12,2012,"The Twilight Saga: Breaking Dawn, Part 2",The Twilight Saga: Breaking Dawn Part 2,0.025,The Twilight Saga: Breaking Dawn Part 2,LG/S,292300000,537400000,829700000,24737
48,84,14-Sep-18,The Predator,88000000,51024708,159487563,9/14/18,2018,The Predator,The Predator (2018),0.368421053,The Predator (2018),Fox,51000000,109500000,160500000,24708
72,9,17-Jun-11,Mr. Poppers's Penguins,55000000,68224452,189624452,6/17/11,2011,Mr. Poppers's Penguins,Mr. Popper's Penguins,0.045454545,Mr. Popper's Penguins,Fox,68200000,119100000,187300000,24452
138,88,16-Sep-11,Straw Dogs,25000000,10324441,11253821,9/16/11,2011,Straw Dogs,Straw Dogs (2011),0.411764706,Straw Dogs (2011),SGem,10300000,,,24441
47,78,21-Apr-17,The Promise,90000000,8224288,10551417,4/21/17,2017,The Promise,The Promise (2017),0.388888889,The Promise (2017),ORF,8199999,4200000,12399999,24289
224,32,3-Feb-17,I Am Not Your Negro,1000000,7123919,9617402,2/3/17,2017,I Am Not Your Negro,I am Not Your Negro,0.052631579,I am Not Your Negro,Magn.,7100000,,,23919
32,2,23-Jun-10,Knight and Day,117000000,76423035,258751370,6/23/10,2010,Knight and Day,Knight & Day,0.214285714,Knight & Day,Fox,76400000,185500000,261900000,23035
60,19,20-Jan-12,Underworld: Awakening,70000000,62321039,160379930,1/20/12,2012,Underworld: Awakening,Underworld Awakening,0.047619048,Underworld Awakening,SGem,62300000,97800000,160100000,21039
56,28,9-Nov-18,Dr. Seussâ The Grinch,75000000,270620950,511002426,11/9/18,2018,Dr. Seussâ The Grinch,Dr. Seuss' The Grinch (2018),0.357142857,Dr. Seuss' The Grinch (2018),Uni.,270600000,241000000,511600000,20950
167,28,23-Oct-15,Rock the Kasbah,15000000,3020665,3386153,10/23/15,2015,Rock the Kasbah,Rock The Kasbah,0.066666667,Rock The Kasbah,ORF,3000000,,,20665
164,57,3-Oct-14,Left Behind,16000000,14019924,20769209,10/3/14,2014,Left Behind,Left Behind (2014),0.388888889,Left Behind (2014),Free,14000000,5700000,19700000,19924
149,31,20-Oct-17,Tyler Perryâs Boo 2! A Madea Halloween,20000000,47319572,47879572,10/20/17,2017,Tyler Perryâs Boo 2! A Madea Halloween,Tyler Perry's Boo 2! A Madea Halloween,0.075,Tyler Perry's Boo 2! A Madea Halloween,LGF,47300000,1000000,48300000,19572
113,22,13-Sep-13,The Family,30000000,36918811,51078541,9/13/13,2013,The Family,The Family (2013),0.411764706,The Family (2013),Rela.,36900000,41500000,78400000,18811
58,99,8-Jun-18,Oceanâs 8,70000000,140218711,297115976,6/8/18,2018,Oceanâs 8,Ocean's 8,0.272727273,Ocean's 8,WB,140200000,157500000,297700000,18711
