,t1,t2,score
265249,Harry Potter and the Deathly Hallows: Part I,Harry Potter and the Deathly Hallows: Part 1,0.022727273
5115675,The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,The 41–Year–Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,0.025316456
715928,The House with a Clock in its Walls,The House with a Clock in Its Walls,0.028571429
7508598,A Million Ways to Die in The West,A Million Ways to Die in the West,0.03030303
8018881,Guardians of the Galaxy Vol 2,Guardians of the Galaxy Vol. 2,0.033333333
2549951,The Past is a Grotesque Animal,The Past Is a Grotesque Animal,0.033333333
5159376,In The Land of Blood and Honey,In the Land of Blood and Honey,0.033333333
9343206,Teen Titans Go! To The Movies,Teen Titans Go! To the Movies,0.034482759
7424658,Metallica Through the Never,Metallica: Through the Never,0.035714286
7978047,The Girl with all the Gifts,The Girl with All the Gifts,0.037037037
6789450,Scott Pilgrim vs. The World,Scott Pilgrim vs. the World,0.037037037
8613266,Backstabbing For Beginners,Backstabbing for Beginners,0.038461538
904830,This is Where I Leave You,This Is Where I Leave You,0.04
288422,One Direction: This is Us,One Direction: This Is Us,0.04
8467750,To Write Love On Her Arms,To Write Love on Her Arms,0.04
8362171,"Cinco de Mayo, La Batalla",Cinco de Mayo: La Batalla,0.04
1949937,Ralph Breaks The Internet,Ralph Breaks the Internet,0.04
2494444,Escape From Planet Earth,Escape from Planet Earth,0.041666667
3336388,Baahubali: The Beginning,Bahubali: The Beginning,0.041666667
6514617,"Hello, My Name is Doris","Hello, My Name Is Doris",0.043478261
185364,The Man From U.N.C.L.E.,The Man from U.N.C.L.E.,0.043478261
2180055,Harry Potter and the Deathly Hallows: Part II,Harry Potter and the Deathly Hallows: Part 2,0.044444444
7194308,"Me, You and Five Bucks",Me You and Five Bucks,0.045454545
8509165,Mr. Poppers's Penguins,Mr. Popper's Penguins,0.045454545
5908664,30 Nights Of Paranormal Activity With The Devil Inside The Girl With The Dragon Tattoo,30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,0.046511628
7586148,The Oogieloves in the BIG Balloon Adventure,The Oogieloves in the Big Balloon Adventure,0.046511628
5455930,Hillaryâs America: The Secret History of the Democratic Party,Hillary's America: The Secret History of the Democratic Party,0.047619048
8579589,"The Twilight Saga: Breaking Dawn, Part 1",The Twilight Saga: Breaking Dawn - Part 1,0.048780488
4661248,"The Twilight Saga: Breaking Dawn, Part 2",The Twilight Saga: Breaking Dawn - Part 2,0.048780488
7075678,20 Feet From Stardom,20 Feet from Stardom,0.05
1985913,Insidious Chapter 2,Insidious: Chapter 2,0.05
1827678,From Paris With Love,From Paris with Love,0.05
2598657,"Crazy, Stupid, Love","Crazy, Stupid, Love.",0.05
3983599,Insidious Chapter 3,Insidious: Chapter 3,0.05
2527484,Our Brand is Crisis,Our Brand Is Crisis,0.052631579
4214993,Terminator: Genisys,Terminator Genisys,0.052631579
3143608,Trade of Innocents,Trade Of Innocents,0.055555556
9399833,Life as We Know It,Life As We Know It,0.055555556
2772280,Princess Kaiulani,Princess Ka'iulani,0.055555556
5887636,T2: Trainspotting,T2 Trainspotting,0.058823529
2116620,Not Safe For Work,Not Safe for Work,0.058823529
4375788,The Legend of Hellâs Gate: An American Conspiracy,The Legend of Hell's Gate: An American Conspiracy,0.058823529
305379,Wall Street 2: Money Never Sleeps,Wall Street: Money Never Sleeps,0.060606061
7261044,Alpha & Omega: The Legend of the Saw Tooth Cave,Alpha and Omega: The Legend of the Saw Tooth Cave,0.06122449
4099417,"Guten Tag, Ramon","Guten Tag, Ramón",0.0625
1881861,How Do You Know?,How Do You Know,0.0625
6477749,How to be Single,How to Be Single,0.0625
7041934,Growing up Smith,Growing Up Smith,0.0625
8959867,I am Number Four,I Am Number Four,0.0625
8575690,The Back-up Plan,The Back-Up Plan,0.0625
6241757,This is the End,This Is the End,0.066666667
5574240,My Name is Khan,My Name Is Khan,0.066666667
5128174,Just Go With It,Just Go with It,0.066666667
874307,Miss Peregrineâs Home for Peculiar Children,Miss Peregrine's Home for Peculiar Children,0.066666667
9449077,My All-American,My All American,0.066666667
3573239,Les Miserables,Les Misérables,0.071428571
5431761,A Star is Born,A Star Is Born,0.071428571
1574683,Antarctic Edge: 70Âº South,Antarctic Edge: 70° South,0.076923077
8662347,Scary Movie V,Scary Movie 5,0.076923077
5715822,Mission: ImpossibleâGhost Protocol,Mission: Impossible - Ghost Protocol,0.083333333
4912299,Extremely Loud and Incredibly Close,Extremely Loud & Incredibly Close,0.085714286
1973954,Jimi: All is By My Side,Jimi: All Is by My Side,0.086956522
4850672,A Very Harold & Kumar 3D Christmas,A Very Harold & Kumar Christmas,0.088235294
8436667,Mission: ImpossibleâRogue Nation,Mission: Impossible - Rogue Nation,0.088235294
6382155,Legends of Oz: Dorothyâs Return,Legends of Oz: Dorothy's Return,0.090909091
4447311,Ben is Back,Ben Is Back,0.090909091
1159288,Billy Lynnâs Long Halftime Walk,Billy Lynn's Long Halftime Walk,0.090909091
8211852,Born of War,Born Of War,0.090909091
3511030,Everybody Wants Some,Everybody Wants Some!!,0.090909091
6909557,All is Lost,All Is Lost,0.090909091
4245656,Rise Of the Entrepreneur - The Search For A Better Way,Rise of the Entrepreneur: The Search for a Better Way,0.092592593
2994555,Go For It!,Go for It!,0.1
3988177,Insidious Chapter 3,Insidious: Chapter 2,0.1
4366662,Red Riding: The Year of Our Lord 1974,Red Riding: In the Year of Our Lord 1974,0.1
2972036,The Girl in the Spiderâs Web,The Girl in the Spider's Web,0.1
80644,This is 40,This Is 40,0.1
2446921,Jerusalema,Jerusalem,0.1
9245273,After.Life,After-Life,0.1
1981335,Insidious Chapter 2,Insidious: Chapter 3,0.1
3918279,Mi America,My America,0.1
557488,Middle Men,Middle Man,0.1
2584162,"Dude, Where's My Dog",Dude Where's My Dog?,0.1
459500,Hoodwinked Too: Hood vs. Evil,Hoodwinked Too! Hood VS. Evil,0.103448276
