,id_x,release_date_x,movie,production_budget,domestic_gross,worldwide_gross,date_x,year,t1,t2,score,Unnamed: 0,genre_ids,id_y,original_language,original_title,popularity,release_date_y,title,vote_average,vote_count,date_y
0,5,"Dec 15, 2017",Star Wars Ep. VIII: The Last Jedi,"$317,000,000","$620,181,382","$1,316,721,747",2017-12-15,2017,Star Wars Ep. VIII: The Last Jedi,Star Wars: The Last Jedi,0.2727272727272727,20624,"[14, 12, 878, 28]",181808,en,Star Wars: The Last Jedi,34.293,2017-12-15,Star Wars: The Last Jedi,7.0,8534,2017-12-15
1,5,"Dec 15, 2017",Star Wars Ep. VIII: The Last Jedi,"$317,000,000","$620,181,382","$1,316,721,747",2017-12-15,2017,Star Wars Ep. VIII: The Last Jedi,Star Wars: The Last Jedi,0.2727272727272727,23831,"[14, 12, 878, 28]",181808,en,Star Wars: The Last Jedi,34.293,2017-12-15,Star Wars: The Last Jedi,7.0,8534,2017-12-15
2,6,"Dec 18, 2015",Star Wars Ep. VII: The Force Awakens,"$306,000,000","$936,662,225","$2,053,311,220",2015-12-18,2015,Star Wars Ep. VII: The Force Awakens,Star Wars: The Force Awakens,0.2222222222222222,14172,"[28, 12, 878, 14]",140607,en,Star Wars: The Force Awakens,32.281,2015-12-18,Star Wars: The Force Awakens,7.4,12641,2015-12-18
3,6,"Dec 18, 2015",Star Wars Ep. VII: The Force Awakens,"$306,000,000","$936,662,225","$2,053,311,220",2015-12-18,2015,Star Wars Ep. VII: The Force Awakens,Star Wars: The Force Awakens,0.2222222222222222,17385,"[28, 12, 878, 14]",140607,en,Star Wars: The Force Awakens,32.281,2015-12-18,Star Wars: The Force Awakens,7.4,12641,2015-12-18
4,49,"May 5, 2017",Guardians of the Galaxy Vol 2,"$200,000,000","$389,813,101","$862,316,233",2017-05-05,2017,Guardians of the Galaxy Vol 2,Guardians of the Galaxy Vol. 2,0.03333333333333333,20622,"[28, 12, 35, 878]",283995,en,Guardians of the Galaxy Vol. 2,40.228,2017-05-05,Guardians of the Galaxy Vol. 2,7.7,12535,2017-05-05
5,58,"Dec 17, 2010",Tron: Legacy,"$200,000,000","$172,062,763","$400,062,763",2010-12-17,2010,Tron: Legacy,TRON: Legacy,0.25,54,"[12, 28, 878]",20526,en,TRON: Legacy,13.459000000000001,2010-12-10,TRON: Legacy,6.3,4387,2010-12-10
6,58,"Dec 17, 2010",Tron: Legacy,"$200,000,000","$172,062,763","$400,062,763",2010-12-17,2010,Tron: Legacy,TRON: Legacy,0.25,2536,"[12, 28, 878]",20526,en,TRON: Legacy,13.459000000000001,2010-12-10,TRON: Legacy,6.3,4387,2010-12-10
7,63,"May 28, 2010",Prince of Persia: Sands of Time,"$200,000,000","$90,759,676","$336,359,676",2010-05-28,2010,Prince of Persia: Sands of Time,Prince of Persia: The Sands of Time,0.11428571428571428,55,"[12, 14, 28, 10749]",9543,en,Prince of Persia: The Sands of Time,13.44,2010-05-27,Prince of Persia: The Sands of Time,6.2,4040,2010-05-27
8,92,"Jul 27, 2018",Mission: ImpossibleâFallout,"$178,000,000","$220,159,104","$787,456,552",2018-07-27,2018,Mission: ImpossibleâFallout,Mission: Impossible - Fallout,0.10344827586206896,23844,[28],353081,en,Mission: Impossible - Fallout,29.69,2018-07-27,Mission: Impossible - Fallout,7.3,3811,2018-07-27
9,3,"Nov 21, 2018",Ralph Breaks The Internet,"$175,000,000","$201,091,711","$524,283,695",2018-11-21,2018,Ralph Breaks The Internet,Ralph Breaks the Internet,0.04,23815,"[10751, 16, 35, 14, 12]",404368,en,Ralph Breaks the Internet,48.056999999999995,2018-11-21,Ralph Breaks the Internet,7.2,2626,2018-11-21
