,id_x,release_date_x,movie,production_budget,domestic_gross,worldwide_gross,date_x,year,t1,t2,score,Unnamed: 0,genre_ids,id_y,original_language,original_title,popularity,release_date_y,title,vote_average,vote_count,date_y
0,5,15-Dec-17,Star Wars Ep. VIII: The Last Jedi,"$317,000,000 ","$620,181,382 ","$1,316,721,747 ",12/15/17,2017,Star Wars Ep. VIII: The Last Jedi,Star Wars: The Last Jedi,0.272727273,20624,"[14, 12, 878, 28]",181808,en,Star Wars: The Last Jedi,34.293,12/15/17,Star Wars: The Last Jedi,7,8534,12/15/17
1,5,15-Dec-17,Star Wars Ep. VIII: The Last Jedi,"$317,000,000 ","$620,181,382 ","$1,316,721,747 ",12/15/17,2017,Star Wars Ep. VIII: The Last Jedi,Star Wars: The Last Jedi,0.272727273,23831,"[14, 12, 878, 28]",181808,en,Star Wars: The Last Jedi,34.293,12/15/17,Star Wars: The Last Jedi,7,8534,12/15/17
2,6,18-Dec-15,Star Wars Ep. VII: The Force Awakens,"$306,000,000 ","$936,662,225 ","$2,053,311,220 ",12/18/15,2015,Star Wars Ep. VII: The Force Awakens,Star Wars: The Force Awakens,0.222222222,14172,"[28, 12, 878, 14]",140607,en,Star Wars: The Force Awakens,32.281,12/18/15,Star Wars: The Force Awakens,7.4,12641,12/18/15
3,6,18-Dec-15,Star Wars Ep. VII: The Force Awakens,"$306,000,000 ","$936,662,225 ","$2,053,311,220 ",12/18/15,2015,Star Wars Ep. VII: The Force Awakens,Star Wars: The Force Awakens,0.222222222,17385,"[28, 12, 878, 14]",140607,en,Star Wars: The Force Awakens,32.281,12/18/15,Star Wars: The Force Awakens,7.4,12641,12/18/15
4,49,5-May-17,Guardians of the Galaxy Vol 2,"$200,000,000 ","$389,813,101 ","$862,316,233 ",5/5/17,2017,Guardians of the Galaxy Vol 2,Guardians of the Galaxy Vol. 2,0.033333333,20622,"[28, 12, 35, 878]",283995,en,Guardians of the Galaxy Vol. 2,40.228,5/5/17,Guardians of the Galaxy Vol. 2,7.7,12535,5/5/17
5,58,17-Dec-10,Tron: Legacy,"$200,000,000 ","$172,062,763 ","$400,062,763 ",12/17/10,2010,Tron: Legacy,TRON: Legacy,0.25,54,"[12, 28, 878]",20526,en,TRON: Legacy,13.459,12/10/10,TRON: Legacy,6.3,4387,12/10/10
6,58,17-Dec-10,Tron: Legacy,"$200,000,000 ","$172,062,763 ","$400,062,763 ",12/17/10,2010,Tron: Legacy,TRON: Legacy,0.25,2536,"[12, 28, 878]",20526,en,TRON: Legacy,13.459,12/10/10,TRON: Legacy,6.3,4387,12/10/10
7,63,28-May-10,Prince of Persia: Sands of Time,"$200,000,000 ","$90,759,676 ","$336,359,676 ",5/28/10,2010,Prince of Persia: Sands of Time,Prince of Persia: The Sands of Time,0.114285714,55,"[12, 14, 28, 10749]",9543,en,Prince of Persia: The Sands of Time,13.44,5/27/10,Prince of Persia: The Sands of Time,6.2,4040,5/27/10
8,92,27-Jul-18,Mission: ImpossibleâFallout,"$178,000,000 ","$220,159,104 ","$787,456,552 ",7/27/18,2018,Mission: ImpossibleâFallout,Mission: Impossible - Fallout,0.103448276,23844,[28],353081,en,Mission: Impossible - Fallout,29.69,7/27/18,Mission: Impossible - Fallout,7.3,3811,7/27/18
9,3,21-Nov-18,Ralph Breaks The Internet,"$175,000,000 ","$201,091,711 ","$524,283,695 ",11/21/18,2018,Ralph Breaks The Internet,Ralph Breaks the Internet,0.04,23815,"[10751, 16, 35, 14, 12]",404368,en,Ralph Breaks the Internet,48.057,11/21/18,Ralph Breaks the Internet,7.2,2626,11/21/18
10,34,29-Jul-11,Cowboys and Aliens,"$163,000,000 ","$100,368,560 ","$176,038,324 ",7/29/11,2011,Cowboys and Aliens,Cowboys & Aliens,0.166666667,2497,"[28, 878, 53, 37]",49849,en,Cowboys & Aliens,16.293,7/29/11,Cowboys & Aliens,5.5,3110,7/29/11
11,40,24-May-13,Fast and Furious 6,"$160,000,000 ","$238,679,850 ","$789,300,444 ",5/24/13,2013,Fast and Furious 6,Fast & Furious 6,0.166666667,8880,"[28, 53, 80]",82992,en,Fast & Furious 6,2.114,5/22/13,Fast & Furious 6,6.8,7077,5/22/13
12,49,1-Jul-15,Terminator: Genisys,"$155,000,000 ","$89,760,956 ","$432,150,894 ",7/1/15,2015,Terminator: Genisys,Terminator Genisys,0.052631579,14174,"[878, 28, 53, 12]",87101,en,Terminator Genisys,31.11,7/1/15,Terminator Genisys,5.9,5309,7/1/15
13,68,31-Jul-15,Mission: ImpossibleâRogue Nation,"$150,000,000 ","$195,042,377 ","$688,858,992 ",7/31/15,2015,Mission: ImpossibleâRogue Nation,Mission: Impossible - Rogue Nation,0.088235294,14197,[28],177677,en,Mission: Impossible - Rogue Nation,20.177,7/31/15,Mission: Impossible - Rogue Nation,7.1,5242,7/31/15
14,98,16-Dec-11,Mission: ImpossibleâGhost Protocol,"$145,000,000 ","$209,397,903 ","$694,713,230 ",12/16/11,2011,Mission: ImpossibleâGhost Protocol,Mission: Impossible - Ghost Protocol,0.083333333,2483,"[28, 53, 12]",56292,en,Mission: Impossible - Ghost Protocol,18.304,12/21/11,Mission: Impossible - Ghost Protocol,7,6102,12/21/11
15,25,16-Nov-12,"The Twilight Saga: Breaking Dawn, Part 2","$136,200,000 ","$292,324,737 ","$829,724,737 ",11/16/12,2012,"The Twilight Saga: Breaking Dawn, Part 2",The Twilight Saga: Breaking Dawn - Part 2,0.048780488,5208,"[12, 14, 18, 10749]",50620,en,The Twilight Saga: Breaking Dawn - Part 2,16.542,11/16/12,The Twilight Saga: Breaking Dawn - Part 2,6.3,5130,11/16/12
16,57,18-Nov-11,"The Twilight Saga: Breaking Dawn, Part 1","$127,500,000 ","$281,287,133 ","$689,420,051 ",11/18/11,2011,"The Twilight Saga: Breaking Dawn, Part 1",The Twilight Saga: Breaking Dawn - Part 1,0.048780488,2480,"[12, 14, 10749]",50619,en,The Twilight Saga: Breaking Dawn - Part 1,19.22,11/17/11,The Twilight Saga: Breaking Dawn - Part 1,6,5098,11/17/11
17,61,15-Jul-11,Harry Potter and the Deathly Hallows: Part II,"$125,000,000 ","$381,193,157 ","$1,341,693,157 ",7/15/11,2011,Harry Potter and the Deathly Hallows: Part II,Harry Potter and the Deathly Hallows: Part 2,0.044444444,2471,"[10751, 14, 12]",12445,en,Harry Potter and the Deathly Hallows: Part 2,29.206,7/15/11,Harry Potter and the Deathly Hallows: Part 2,8.1,11567,7/15/11
18,64,19-Nov-10,Harry Potter and the Deathly Hallows: Part I,"$125,000,000 ","$296,131,568 ","$960,431,568 ",11/19/10,2010,Harry Potter and the Deathly Hallows: Part I,Harry Potter and the Deathly Hallows: Part 1,0.022727273,0,"[12, 14, 10751]",12444,en,Harry Potter and the Deathly Hallows: Part 1,33.533,11/19/10,Harry Potter and the Deathly Hallows: Part 1,7.7,10788,11/19/10
19,80,21-Dec-16,Assassinâs Creed,"$125,000,000 ","$54,647,948 ","$240,759,682 ",12/21/16,2016,Assassinâs Creed,Assassin's Creed,0.166666667,17471,"[28, 12, 878]",121856,en,Assassin's Creed,14.051,12/21/16,Assassin's Creed,5.4,5010,12/21/16
20,80,21-Dec-16,Assassinâs Creed,"$125,000,000 ","$54,647,948 ","$240,759,682 ",12/21/16,2016,Assassinâs Creed,Assassin's Creed,0.166666667,20727,"[28, 12, 878]",121856,en,Assassin's Creed,14.051,12/21/16,Assassin's Creed,5.4,5010,12/21/16
21,1,17-Dec-10,How Do You Know?,"$120,000,000 ","$30,212,620 ","$49,628,177 ",12/17/10,2010,How Do You Know?,How Do You Know,0.0625,323,"[35, 18, 10749]",42888,en,How Do You Know,6.753,12/17/10,How Do You Know,5.1,453,12/17/10
22,10,22-Apr-16,The Huntsman: Winterâs War,"$115,000,000 ","$48,003,015 ","$165,149,302 ",4/22/16,2016,The Huntsman: Winterâs War,The Huntsman: Winter's War,0.107142857,17434,"[28, 12, 18]",290595,en,The Huntsman: Winter's War,16.661,4/22/16,The Huntsman: Winter's War,6.2,2966,4/22/16
23,30,30-Sep-16,Miss Peregrineâs Home for Peculiar Children,"$110,000,000 ","$87,242,834 ","$295,986,876 ",9/30/16,2016,Miss Peregrineâs Home for Peculiar Children,Miss Peregrine's Home for Peculiar Children,0.066666667,17413,"[18, 14, 12, 10751]",283366,en,Miss Peregrine's Home for Peculiar Children,19.132,9/30/16,Miss Peregrine's Home for Peculiar Children,6.7,6211,9/30/16
24,44,14-Dec-18,Spider-Man: Into The Spider-Verse 3D,"$90,000,000 ","$190,173,195 ","$375,381,768 ",12/14/18,2018,Spider-Man: Into The Spider-Verse 3D,Spider-Man: Into the Spider-Verse,0.111111111,23812,"[28, 12, 16, 878, 35]",324857,en,Spider-Man: Into the Spider-Verse,60.534,12/14/18,Spider-Man: Into the Spider-Verse,8.4,4048,12/14/18
25,22,13-Aug-10,Scott Pilgrim vs. The World,"$85,000,000 ","$31,611,316 ","$48,056,764 ",8/13/10,2010,Scott Pilgrim vs. The World,Scott Pilgrim vs. the World,0.037037037,41,"[28, 35, 10749]",22538,en,Scott Pilgrim vs. the World,14.383,8/13/10,Scott Pilgrim vs. the World,7.3,3882,8/13/10
26,58,11-Feb-11,Just Go With It,"$80,000,000 ","$103,028,109 ","$214,974,953 ",2/11/11,2011,Just Go With It,Just Go with It,0.066666667,2478,"[35, 10749]",50546,en,Just Go with It,19.565,2/11/11,Just Go with It,6.4,2958,2/11/11
27,55,14-Aug-15,The Man From U.N.C.L.E.,"$75,000,000 ","$45,445,109 ","$104,949,584 ",8/14/15,2015,The Man From U.N.C.L.E.,The Man from U.N.C.L.E.,0.043478261,14207,"[35, 28, 12]",203801,en,The Man from U.N.C.L.E.,18.956,8/14/15,The Man from U.N.C.L.E.,7.1,3525,8/14/15
28,5,10-Nov-17,Daddyâs Home 2,"$70,000,000 ","$104,029,443 ","$175,807,183 ",11/10/17,2017,Daddyâs Home 2,Daddy's Home 2,0.1875,20751,[35],419680,en,Daddy's Home 2,12.525,11/10/17,Daddy's Home 2,6,1267,11/10/17
29,5,10-Nov-17,Daddyâs Home 2,"$70,000,000 ","$104,029,443 ","$175,807,183 ",11/10/17,2017,Daddyâs Home 2,Daddy's Home 2,0.1875,24052,[35],419680,en,Daddy's Home 2,12.525,11/10/17,Daddy's Home 2,6,1267,11/10/17
30,24,24-Sep-10,Wall Street 2: Money Never Sleeps,"$70,000,000 ","$52,474,616 ","$137,431,619 ",9/24/10,2010,Wall Street 2: Money Never Sleeps,Wall Street: Money Never Sleeps,0.060606061,128,"[18, 80]",33909,en,Wall Street: Money Never Sleeps,10.177,9/20/10,Wall Street: Money Never Sleeps,6,797,9/20/10
31,46,9-May-14,Legends of Oz: Dorothyâs Return,"$70,000,000 ","$8,462,347 ","$20,107,933 ",5/9/14,2014,Legends of Oz: Dorothyâs Return,Legends of Oz: Dorothy's Return,0.090909091,11488,"[16, 10402, 10751]",59981,en,Legends of Oz: Dorothy's Return,6.349,5/9/14,Legends of Oz: Dorothy's Return,5.7,67,5/9/14
32,78,25-Dec-12,Les Miserables,"$65,000,000 ","$148,809,770 ","$442,169,052 ",12/25/12,2012,Les Miserables,Les Misérables,0.071428571,5295,"[36, 18]",82695,en,Les Misérables,10.458,12/25/12,Les Misérables,7.4,3283,12/25/12
33,83,5-Jun-15,Spy!,"$65,000,000 ","$110,825,712 ","$232,585,748 ",6/5/15,2015,Spy!,Spy,0.25,14268,"[28, 35, 80]",238713,en,Spy,12.54,6/5/15,Spy,6.8,3917,6/5/15
34,91,12-Aug-16,Peteâs Dragon,"$65,000,000 ","$76,233,151 ","$137,768,975 ",8/12/16,2016,Peteâs Dragon,Pete's Dragon,0.2,17450,"[12, 10751, 14]",294272,en,Pete's Dragon,15.734,8/12/16,Pete's Dragon,6.3,1322,8/12/16
35,43,14-Feb-14,Winterâs Tale,"$60,000,000 ","$12,600,231 ","$29,575,033 ",2/14/14,2014,Winterâs Tale,Winter's Tale,0.2,11514,"[18, 14, 9648, 10749]",137321,en,Winter's Tale,6.224,2/13/14,Winter's Tale,6.2,796,2/13/14
36,9,17-Jun-11,Mr. Poppers's Penguins,"$55,000,000 ","$68,224,452 ","$189,624,452 ",6/17/11,2011,Mr. Poppers's Penguins,Mr. Popper's Penguins,0.045454545,2719,"[35, 10751]",58224,en,Mr. Popper's Penguins,8.292,6/17/11,Mr. Popper's Penguins,5.8,1554,6/17/11
37,75,5-Feb-10,From Paris With Love,"$52,000,000 ","$24,077,427 ","$53,139,168 ",2/5/10,2010,From Paris With Love,From Paris with Love,0.05,65,"[28, 80, 53]",26389,en,From Paris with Love,12.862,2/5/10,From Paris with Love,6.2,1075,2/5/10
38,88,25-Dec-15,Daddyâs Home,"$50,000,000 ","$150,357,137 ","$242,757,137 ",12/25/15,2015,Daddyâs Home,Daddy's Home,0.214285714,14237,[35],274167,en,Daddy's Home,14.847,12/25/15,Daddy's Home,6.1,1688,12/25/15
39,8,29-Jul-11,"Crazy, Stupid, Love","$50,000,000 ","$84,351,197 ","$147,142,328 ",7/29/11,2011,"Crazy, Stupid, Love","Crazy, Stupid, Love.",0.05,2538,"[35, 18, 10749]",50646,en,"Crazy, Stupid, Love.",13.277,7/29/11,"Crazy, Stupid, Love.",7.2,4585,7/29/11
40,24,18-Jul-14,Planes: Fire and Rescue,"$50,000,000 ","$59,157,732 ","$156,399,644 ",7/18/14,2014,Planes: Fire and Rescue,Planes: Fire & Rescue,0.130434783,11213,"[16, 35, 12, 10751]",218836,en,Planes: Fire & Rescue,9.231,7/18/14,Planes: Fire & Rescue,6,420,7/18/14
41,28,18-Feb-11,I am Number Four,"$50,000,000 ","$55,100,437 ","$146,195,159 ",2/18/11,2011,I am Number Four,I Am Number Four,0.0625,2578,"[28, 53, 878, 12]",46529,en,I Am Number Four,11.555,2/18/11,I Am Number Four,6,2805,2/18/11
42,51,31-Dec-10,Arthur and the War of Two Worlds,"$45,500,000 ","$347,136 ","$36,180,824 ",12/31/10,2010,Arthur and the War of Two Worlds,Arthur 3: The War of the Two Worlds,0.228571429,67,"[16, 12, 14, 10751]",42949,en,Arthur 3: la guerre des deux mondes,12.679,8/22/10,Arthur 3: The War of the Two Worlds,5.6,865,8/22/10
43,40,9-Nov-18,The Girl in the Spiderâs Web,"$43,000,000 ","$14,828,555 ","$34,983,342 ",11/9/18,2018,The Girl in the Spiderâs Web,The Girl in the Spider's Web,0.1,23852,"[28, 80, 53]",446807,en,The Girl in the Spider's Web,26.425,11/9/18,The Girl in the Spider's Web,6,501,11/9/18
44,94,10-Feb-17,John Wick: Chapter Two,"$40,000,000 ","$92,029,184 ","$171,350,009 ",2/10/17,2017,John Wick: Chapter Two,John Wick: Chapter 2,0.136363636,20619,"[53, 28, 80]",324552,en,John Wick: Chapter 2,45.253,2/10/17,John Wick: Chapter 2,7,5863,2/10/17
45,16,21-Sep-18,The House with a Clock in its Walls,"$40,000,000 ","$68,549,695 ","$126,331,750 ",9/21/18,2018,The House with a Clock in its Walls,The House with a Clock in Its Walls,0.028571429,23887,"[14, 10751]",463821,en,The House with a Clock in Its Walls,21.805,9/21/18,The House with a Clock in Its Walls,6.2,933,9/21/18
46,28,15-Feb-13,Escape From Planet Earth,"$40,000,000 ","$57,012,977 ","$74,156,610 ",2/15/13,2013,Escape From Planet Earth,Escape from Planet Earth,0.041666667,8052,"[16, 35, 12, 10751, 878]",68179,en,Escape from Planet Earth,9.227,2/14/13,Escape from Planet Earth,5.8,459,2/14/13
