,t1,t2,score
18250,I'll See You In My Dreams,I'll See You in My Dreams,0.04
263541,Elliot: The Littlest Reindeer,The Littlest Reindeer,0.27586206896551724
308826,Elliot: The Littlest Reindeer,Elliot the Littlest Reindeer,0.06896551724137931
1259697,Every Thing Will be Fine,Everything Will Be Fine,0.125
1272222,Every Thing Will be Fine,Everything Will Be,0.3333333333333333
1316326,Every Thing Will be Fine,Everything I see is mine,0.4166666666666667
1354652,Every Thing Will be Fine,And There Will Be Fire,0.4166666666666667
1358315,Every Thing Will be Fine,Everything Will Be Okay,0.2916666666666667
1375496,Every Thing Will be Fine,Everything Will Come True!,0.34615384615384615
1396766,Every Thing Will be Fine,Everything is Free,0.4166666666666667
1408803,Every Thing Will be Fine,Everything will be fine,0.16666666666666666
1415352,Every Thing Will be Fine,Every Thing Will Be Fine,0.041666666666666664
1497234,Every Thing Will be Fine,Everything Will be Fine,0.08333333333333333
1499262,Every Thing Will be Fine,Everything Will Be Alright,0.34615384615384615
1530311,Tomorrow When the War Began,Tomorrow after the war,0.4074074074074074
1661969,Tomorrow When the War Began,Tomorrow After the War,0.37037037037037035
1671781,Tomorrow When the War Began,Tomorrow We Are Free,0.4074074074074074
1704059,Tomorrow When the War Began,"Tomorrow, When the War Began",0.03571428571428571
1999643,Love and Lost (Shi Gu),Love at Last Sight,0.4090909090909091
2246491,Pete's Dragon (2016),Pete's Dragon,0.35
2357567,Elsa & Fred (2014),Elsa & Fred,0.3888888888888889
2763103,Rapt,Rabot,0.4
2770901,Rapt,Rampant,0.42857142857142855
2772544,Rapt,Rapture,0.42857142857142855
2778380,Rapt,Rapport,0.42857142857142855
2786320,Rapt,Adapt,0.4
2806167,Rapt,Raptada,0.42857142857142855
2808818,Rapt,Rapist,0.3333333333333333
2825929,Rapt,Kapat,0.4
2867538,Rapt,Rapto,0.2
2893259,Rapt,Rabat,0.4
2937473,Rapt,Raita,0.4
2968089,Rapt,Rasta,0.4
3143371,Grandma (2015),Grandma Lo-Fi,0.42857142857142855
3238299,Grandma (2015),Kindia 2015,0.42857142857142855
3450810,Evangelion 2.0: You Can (Not) Advance,Evangelion: 3.0: You Can (Not) Redo,0.24324324324324326
3450909,Evangelion 2.0: You Can (Not) Advance,Evangelion 3.33 You Can (Not) Redo,0.2702702702702703
3606066,Maquia: When the Promised Flower Blooms (Subtitled),"Maquia, When the Promised Flower Blooms",0.2549019607843137
3625080,Maquia: When the Promised Flower Blooms (Subtitled),Maquia: When the Promised Flower Blooms,0.23529411764705882
4005455,After The Ball,After the Night,0.4
4007466,After The Ball,Enter the Wild,0.42857142857142855
4016166,After The Ball,After the River,0.4
4020309,After The Ball,Watch Them Fall,0.4
4028882,After The Ball,After the Sun Fell,0.3888888888888889
4031282,After The Ball,After the Reality,0.35294117647058826
4034811,After The Ball,After the Titanic,0.4117647058823529
4034815,After The Ball,Hit the Wall,0.42857142857142855
4037521,After The Ball,After the Apology,0.4117647058823529
4040284,After The Ball,After the Wizard,0.375
4047732,After The Ball,After the Fair,0.2857142857142857
4056325,After The Ball,After the Dance,0.3333333333333333
4058378,After The Ball,Over the Wall,0.35714285714285715
4059081,After The Ball,After the Dawn,0.2857142857142857
4061084,After The Ball,Enter the Faun,0.42857142857142855
4080297,After The Ball,After Tuesday,0.35714285714285715
