,t1,t2,score
135452950,Percy Jackson & The Olympians: The Lightning Thief,Percy Jackson & the Olympians: The Lightning Thief,0.02
132333376,"Lo and Behold, Reveries of the Connected World",Lo and Behold: Reveries of the Connected World,0.02173913
73846591,Harry Potter and the Deathly Hallows Part 1,Harry Potter and the Deathly Hallows: Part 1,0.022727273
149915312,Harry Potter and the Deathly Hallows Part 2,Harry Potter and the Deathly Hallows: Part 2,0.022727273
27479051,"Lou Andreas-Salomé, the Audacity to be Free","Lou Andreas-Salomé, The Audacity to be Free",0.023255814
134243739,Frank Miller's Sin City: A Dame to Kill For,Frank Miller's Sin City: A Dame to Kill for,0.023255814
78046438,"The Butcher, the Chef and the Swordsman","The Butcher, the Chef, and the Swordsman",0.025
155708002,We Steal Secrets: The Story of Wikileaks,We Steal Secrets: The Story of WikiLeaks,0.025
33528581,Fantastic Beasts and Where To Find Them,Fantastic Beasts and Where to Find Them,0.025641026
57469742,Marina Abramovic: The Artist is Present,Marina Abramovic: The Artist Is Present,0.025641026
78115926,"The Butcher, the Chef and the Swordsman","The Butcher, The Chef and the Swordsman",0.025641026
11480862,Yu-Gi-Oh! The Dark Side of Dimensions,Yu-Gi-Oh!: The Dark Side of Dimensions,0.026315789
76749554,Something From Nothing: The Art of Rap,Something from Nothing: The Art of Rap,0.026315789
9800148,Don't Worry He Won't Get Far on Foot,"Don't Worry, He Won't Get Far on Foot",0.027027027
35315352,"Hippocrates, Diary of a French Doctor",Hippocrates: Diary of a French Doctor,0.027027027
72626049,Pokemon the Movie: The Power of Us,Pokémon the Movie: The Power of Us,0.029411765
132820696,Spider-Man: Into The Spider-Verse,Spider-Man: Into the Spider-Verse,0.03030303
142270739,Pokemon the Movie: I Choose You!,Pokémon the Movie: I Choose You!,0.03125
142960392,The 100-Year Old Man Who Climbed Out the Window and Disappeared,The 100 Year-Old Man Who Climbed Out the Window and Disappeared,0.031746032
136435956,Thunder and the House of Magic!,Thunder and the House of Magic,0.032258065
137415181,"My Love, Don't Cross that River","My Love, Don't Cross That River",0.032258065
153599563,Living is Easy with Eyes Closed,Living Is Easy with Eyes Closed,0.032258065
34990441,Kingsglaive: Final Fantasy: XV,Kingsglaive: Final Fantasy XV,0.033333333
152939200,House at the End of The Street,House at the End of the Street,0.033333333
20697793,Teen Titans Go! To The Movies,Teen Titans Go! To the Movies,0.034482759
36192118,Cirque Du Soleil: Worlds Away,Cirque du Soleil: Worlds Away,0.034482759
1704059,Tomorrow When the War Began,"Tomorrow, When the War Began",0.035714286
92865906,Peggy Guggenheim Art Addict,Peggy Guggenheim: Art Addict,0.035714286
62945418,Why Don't You Play in Hell,Why Don't You Play in Hell?,0.037037037
142375974,"Kumiko, The Treasure Hunter","Kumiko, the Treasure Hunter",0.037037037
57665624,In the Name of my Daughter,In the Name of My Daughter,0.038461538
58163983,Glee The 3D Concert Movie,Glee: The 3D Concert Movie,0.038461538
90936539,Detective Byomkesh Bakshy,Detective Byomkesh Bakshy!,0.038461538
93788097,Return to The Hiding Place,Return to the Hiding Place,0.038461538
18250,I'll See You In My Dreams,I'll See You in My Dreams,0.04
49557470,Oz The Great and Powerful,Oz the Great and Powerful,0.04
107728688,This is Where I Leave You,This Is Where I Leave You,0.04
125512504,Brotherhood of Blades 2: The Infernal Battlefield,Brotherhood of Blades II: The Infernal Battlefield,0.04
143484983,One Direction: This is Us,One Direction: This Is Us,0.04
1415352,Every Thing Will be Fine,Every Thing Will Be Fine,0.041666667
26603172,Phata Poster Nikla Hero,Phata Poster Nikhla Hero,0.041666667
97075401,Escape From Planet Earth,Escape from Planet Earth,0.041666667
31535033,The Man From U.N.C.L.E.,The Man from U.N.C.L.E.,0.043478261
46568495,How to be a Latin Lover,How to Be a Latin Lover,0.043478261
90462777,Noma - My Perfect Storm,Noma - My perfect Storm,0.043478261
105237251,4:44: Last Day on Earth,4:44 Last Day on Earth,0.043478261
115334923,Pele: Birth of a Legend,Pelé: Birth of a Legend,0.043478261
148955745,"Hello, My Name is Doris","Hello, My Name Is Doris",0.043478261
21734364,Billionaire Boy's Club,Billionaire Boys Club,0.045454545
51217838,Bicycling with Moliere,Bicycling with Molière,0.045454545
73902544,Harry Potter and the Deathly Hallows Part 1,Harry Potter and the Deathly Hallows: Part 2,0.045454545
83373984,Condorito: La Pelicula,Condorito: La Película,0.045454545
90048895,300: Rise of An Empire,300: Rise of an Empire,0.045454545
101695637,Tucker & Dale Vs. Evil,Tucker & Dale vs. Evil,0.045454545
58815911,Pacific Rim Uprising,Pacific Rim: Uprising,0.047619048
95991910,News From Planet Mars,News from Planet Mars,0.047619048
158454530,Gori Tere Pyaar Mein,Gori Tere Pyaar Mein!,0.047619048
28071543,The Twilight Saga: Breaking Dawn Part 2,The Twilight Saga: Breaking Dawn - Part 2,0.048780488
102384995,The Twilight Saga: Breaking Dawn Part 1,The Twilight Saga: Breaking Dawn - Part 1,0.048780488
4567497,Singh Saab The Great,Singh Saab the Great,0.05
39313890,Before I Go To Sleep,Before I Go to Sleep,0.05
48766772,Deliver Us From Evil,Deliver Us from Evil,0.05
61587398,Love is All You Need,Love Is All You Need,0.05
71930430,Insidious Chapter 3,Insidious: Chapter 3,0.05
112265315,Insidious Chapter 2,Insidious: Chapter 2,0.05
33814752,The Ark of Mr. Chow,The Ark of Mr Chow,0.052631579
104192729,I am Not Your Negro,I Am Not Your Negro,0.052631579
136164881,Hobo With a Shotgun,Hobo with a Shotgun,0.052631579
136976216,Warriors of the Rainbow: Seediq Bale,Warriors of the Rainbow: Seediq Bale I,0.052631579
20377950,This is Not a Film,This Is Not a Film,0.055555556
67565610,Farewell My Queen,"Farewell, My Queen",0.055555556
69128855,Heaven is for Real,Heaven Is for Real,0.055555556
94942951,Judy Moody and the NOT Bummer Summer,Judy Moody and the Not Bummer Summer,0.055555556
65911441,Louder than Bombs,Louder Than Bombs,0.058823529
71282914,Rising From Ashes,Rising from Ashes,0.058823529
103362671,71 Into the Fire,71: Into the Fire,0.058823529
111383323,It Comes At Night,It Comes at Night,0.058823529
121675149,One For the Money,One for the Money,0.058823529
128707267,Beatriz At Dinner,Beatriz at Dinner,0.058823529
26916090,No Manches Frida,No manches Frida,0.0625
81950757,Pope Francis - A Man of His Word,Pope Francis: A Man of His Word,0.0625
88665461,We Are The Best!,We Are the Best!,0.0625
110261226,The Back-Up Plan,The Back-up Plan,0.0625
117382392,Road to Ninja - Naruto the Movie,Road to Ninja: Naruto the Movie,0.0625
27239754,Chaar Sahibzaade: Rise of Band Singh Bahadur,Chaar Sahibzaade 2: Rise of Banda Singh Bahadur,0.063829787
26293746,Rock The Kasbah,Rock the Kasbah,0.066666667
41276903,I'm In Love With a Church Girl,I'm in Love with a Church Girl,0.066666667
44037653,Film Socialisme,Film Socialism,0.066666667
44049421,Film Socialisme,Film socialisme,0.066666667
45245679,Born to be Blue,Born to Be Blue,0.066666667
75185607,I Melt With You,I Melt with You,0.066666667
89175607,My Name is Khan,My Name Is Khan,0.066666667
102797448,I'm So Excited,I'm So Excited!,0.066666667
144378086,Just Go With It,Just Go with It,0.066666667
149159618,Love is Strange,Love Is Strange,0.066666667
308826,Elliot: The Littlest Reindeer,Elliot the Littlest Reindeer,0.068965517
20511268,Teen Titans Go! To The Movies,Teen Titans Go! to the Movies,0.068965517
4126645,After The Ball,After the Ball,0.071428571
14057258,The To-Do List,The To Do List,0.071428571
28222921,The Twilight Saga: Breaking Dawn Part 2,The Twilight Saga: Breaking Dawn - Parte 2,0.071428571
41742354,Girlfriend Boyfriend - GF BF,Girlfriend Boyfriend: GF BF,0.071428571
46304316,Stuck in Love,Stuck in Love.,0.071428571
52697010,In the Name Of,In the Name of,0.071428571
64649202,Into The Storm,Into the Storm,0.071428571
87792024,Only The Brave,Only the Brave,0.071428571
88866584,Singh is Bling,Singh Is Bling,0.071428571
92673183,Things To Come,Things to Come,0.071428571
102362267,The Twilight Saga: Breaking Dawn Part 1,The Twilight Saga: Breaking Dawn - Parte 1,0.071428571
119051439,Cezanne et moi,Cezanne et Moi,0.071428571
119124699,Cezanne et moi,Cézanne et moi,0.071428571
147015724,The Last - Naruto the Movie,The Last: Naruto the Movie,0.074074074
122646846,The Inevitable Defeat of Mister and Pete,The Inevitable Defeat of Mister & Pete,0.075
20845658,Salut D'Amour,Salut d'Amour,0.076923077
37040573,Matru Ki Bijlee Ka Mandola,Matru ki Bijlee ka Mandola,0.076923077
37601501,The Red Baron,The Red Barn,0.076923077
54914015,To The Wonder,To the Wonder,0.076923077
85893841,Walk With Me,Walk With Me?,0.076923077
103042887,Bad Times At The El Royale,Bad Times at the El Royale,0.076923077
108957428,Live By Night,Live by Night,0.076923077
136816398,Warriors of the Rainbow: Seediq Bale,Warriors of the Rainbow: Seediq Bale II,0.076923077
91436095,Kalakalappu@Masala Cafe,Kalakalappu @ Masala Cafe,0.08
57915374,The Human Centipede 2: Full Sequence,The Human Centipede 2 (Full Sequence),0.081081081
1497234,Every Thing Will be Fine,Everything Will be Fine,0.083333333
74468250,Hillsong - Let Hope Rise,Hillsong: Let Hope Rise,0.083333333
85958320,Walk With Me,Walk with Me,0.083333333
98513716,Isle Of Dogs,Isle of Dogs,0.083333333
108098289,C'Est Si Bon,C'est Si Bon,0.083333333
115137575,Down By Love,Down by Love,0.083333333
123632537,The Young & Prodigious T.S. Spivet,The Young and Prodigious T.S. Spivet,0.083333333
149856982,Harry Potter and the Deathly Hallows Part 2,Harry Potter and the Deathly Hallows: Part 2 3D,0.085106383
37973080,The House With A Clock In Its Walls,The House with a Clock in Its Walls,0.085714286
40011457,Hector And The Search For Happiness,Hector and the Search for Happiness,0.085714286
59547883,The Black Power Mix Tape: 1967-1975,The Black Power Mixtape 1967-1975,0.085714286
90362072,Noma - My Perfect Storm,Noma My Perfect Storm,0.086956522
110881437,Black Panthers: Vanguard of the Revolution,The Black Panthers: Vanguard of the Revolution,0.086956522
148966433,"Hello, My Name is Doris","Hello, my name is Doris",0.086956522
55073888,Ben is Back,Ben Is Back,0.090909091
70406858,"Waiting for ""Superman""",Waiting for 'Superman',0.090909091
83363800,Condorito: La Pelicula,Condorito: La película,0.090909091
101561170,Tucker & Dale Vs. Evil,Tucker & Dale vs Evil,0.090909091
147441136,Jackass 3-D,Jackass 3D,0.090909091
151900639,Step Up 3-D,Step Up 3D,0.090909091
155288844,El Jeremias,El Jeremías,0.090909091
76955663,Hansel and Gretel: Witch Hunters,Hansel & Gretel: Witch Hunters,0.09375
28099793,The Twilight Saga: Breaking Dawn Part 2,The Twilight Saga: Breaking Dawn - Parte 1,0.095238095
61607602,Love is All You Need,Love Is All You Need?,0.095238095
102485395,The Twilight Saga: Breaking Dawn Part 1,The Twilight Saga: Breaking Dawn - Parte 2,0.095238095
19557310,Sex and Zen 3D: Extreme Ecstasy,Sex and Zen: Extreme Ecstasy,0.096774194
18252257,Nostalghia,Nostalgia,0.1
34936625,Kingsglaive: Final Fantasy: XV,Kingsglaive - Final Fantasy XV,0.1
42538419,Titanic 3D,Titanic 3,0.1
76018380,Raanjhana,Raanjhanaa,0.1
140993369,After.Life,After Life,0.1
158780281,Detective Dee and the Mystery of the Phantom Flame,Detective Dee: The Mystery of the Phantom Flame,0.1
32480994,"All's Well, End's Well (2012)","All's Well, Ends Well 2012",0.103448276
36201532,Cirque Du Soleil: Worlds Away,Cirque du soleil: Worlds away,0.103448276
12741242,REC 4: Apocalypse,[REC] 4: Apocalypse,0.105263158
57900926,The Human Centipede 2: Full Sequence,The Human Centipede II (Full Sequence),0.105263158
60706746,"Tinker, Tailor, Soldier, Spy",Tinker Tailor Soldier Spy,0.107142857
8723450,3 Idiotas,3 idiotas,0.111111111
26218527,Self/Less,Self/less,0.111111111
57534311,In the Name of my Daughter,In the Name of the Daughter,0.111111111
81638602,Get On Up,Get on Up,0.111111111
99934196,Eames: The Architect and the Painter,Eames: The Architect & The Painter,0.111111111
103424218,71 Into the Fire,71 - Into the Fire,0.111111111
31836802,Un Gallo con Muchos Huevos,Un gallo con muchos huevos,0.115384615
71545760,Kapoor & Sons - Since 1921,Kapoor & Sons (Since 1921),0.115384615
143386336,One Direction: This is Us,One Direction - This Is Us,0.115384615
12581425,REC 4: Apocalypse,Rec 4: Apocalypse,0.117647059
160460754,Gnomeo and Juliet,Romeo and Juliet,0.117647059
142896504,The 100-Year Old Man Who Climbed Out the Window and Disappeared,The Hundred-Year-Old Man Who Climbed Out the Window and Disappeared,0.119402985
25719791,The Lovers and the Despot,The Lovers & the Despot,0.12
1259697,Every Thing Will be Fine,Everything Will Be Fine,0.125
15658072,Bag of Marbles,A Bag of Marbles,0.125
31456090,Inhumans,Inhumane,0.125
44253415,Film Socialisme,Filme Socialismo,0.125
55459602,Ok Jaanu,OK Jaanu,0.125
56758131,Casa De Mi Padre,Casa de mi Padre,0.125
82408248,Rec 3: Genesis,[Rec] 3: Genesis,0.125
94471622,Felicite,Felisite,0.125
132545633,Footloose (2011),Footloose 2011,0.125
8295407,The Disappearance of Eleanor Rigby,The Disappearance of Eleanor Rigby: Him,0.128205128
8431757,The Disappearance of Eleanor Rigby,The Disappearance of Eleanor Rigby: Her,0.128205128
19537074,Sex and Zen 3D: Extreme Ecstasy,Sex and Zen Extreme Ecstasy,0.129032258
58786844,Pacific Rim Uprising,Pacific Rim 2: Uprising,0.130434783
26386273,Rock The Kasbah,Rock the Casbah,0.133333333
88882154,Singh is Bling,Singh Is Bliing,0.133333333
127035773,"Buen Dia, Ramon","Buen Día, Ramón",0.133333333
149030169,Love is Strange,Life is Strange,0.133333333
64845898,The LEGO Ninjago Movie,The Lego Ninjago Movie,0.136363636
89805055,Racer & the Jailbird,Racer and the Jailbird,0.136363636
100275136,Bjork - Biophilia Live,Björk: Biophilia Live,0.136363636
137205091,John Wick: Chapter Two,John Wick: Chapter 2,0.136363636
28371535,mother!,Mother!,0.142857143
43573382,Teenage Mutant Ninja Turtles (2014),Teenage Mutant Ninja Turtles 2,0.142857143
53658679,Korkoro,Kokoro,0.142857143
57638266,In the Name of my Daughter,In the Name of Your Daughter,0.142857143
105898213,Tiny Times 2,Tiny Times 2.0,0.142857143
137911403,ABCD (Any Body Can Dance) 2,ABCD 2: Any Body Can Dance 2,0.142857143
147977552,The Sleeping Beauty,The Sleeping Beauties,0.142857143
8421480,The Disappearance of Eleanor Rigby,The Disappearance of Eleanor Rigby: Them,0.15
61586668,Love is All You Need,Love is all you need,0.15
69937696,Peepli Live,Peepli (Live),0.153846154
12690607,REC 4: Apocalypse,[REC] 4: Apocalipse,0.157894737
104100593,I am Not Your Negro,I am not your negro,0.157894737
147931424,The Sleeping Beauty,The Sleeping Bear,0.157894737
58155502,Glee The 3D Concert Movie,Glee: The Concert Movie,0.16
93457209,Busco Novio Para Mi Mujer,Busco novio para mi mujer,0.16
158918352,Detective Dee and the Mystery of the Phantom Flame,Detective Dee: Mystery of the Phantom Flame,0.16
48408987,Puella Magi Madoka Magica the Movie: Rebellion,Puella Magi Madoka Magica the Movie Part III: Rebellion,0.163636364
1408803,Every Thing Will be Fine,Everything will be fine,0.166666667
6498895,Forgiveness of Blood,The Forgiveness of Blood,0.166666667
59060232,Kindergarten Teacher,The Kindergarten Teacher,0.166666667
77624717,Oceans,Ocean,0.166666667
85969683,Walk With Me,Talk with Me,0.166666667
150889718,DONGJU: The Portrait of a Poet,Dongju: The Portrait of a Poet,0.166666667
151465106,Simon and the Oaks,Simon & the Oaks,0.166666667
153961645,Carlos,Carlo!,0.166666667
142986895,The 100-Year Old Man Who Climbed Out the Window and Disappeared,The Hundred Year-Old Man Who Climbed Out of the Window and Disappeared,0.171428571
60198150,Tag Along: The Devil Fish,The Tag-Along: The Devil Fish,0.172413793
78966503,Love U Mr. Kalakaar,Love U... Mr. Kalakaar!,0.173913043
109285849,HappyThankYouMorePlease,Happythankyoumoreplease,0.173913043
160434242,Gnomeo and Juliet,Gnomeo & Juliet,0.176470588
93672420,The Student and Mr. Henri,The Student and Mister Henri,0.178571429
49449771,Daybreakers,Daydreamers,0.181818182
51072900,Bicycling with Moliere,Cycling with Molière,0.181818182
68887509,Jolly Llb 2,Jolly LLB 2,0.181818182
124747715,L'Amour Fou,L'amour fou,0.181818182
132915718,Spider-Man: Into The Spider-Verse,Spider-Man: Dans le Spider-Verse,0.181818182
137152618,John Wick: Chapter Two,John Wick Chapter 2,0.181818182
147416096,Jackass 3-D,Jackass 3,0.181818182
149449096,The Chronicles of Evil,Chronicles of Evil,0.181818182
151885384,Step Up 3-D,Step up 3D,0.181818182
152002247,Step Up 3-D,Step Up 3,0.181818182
47345521,A Nightmare on Elm Street (2010),A Nightmare on Elm Street 9,0.1875
103440732,71 Into the Fire,Into the Fire,0.1875
71917290,Insidious Chapter 3,Insidious: Chapitre 3,0.19047619
112056299,Insidious Chapter 2,Insidious: Chapitre 2,0.19047619
142857924,The 100-Year Old Man Who Climbed Out the Window and Disappeared,The Centenarian Who Climbed Out the Window and Disappeared,0.19047619
37022280,Matru Ki Bijlee Ka Mandola,"Matru, Bijlee şi Mandola",0.192307692
140142214,Clash of the Titans (2010),Clash of the Titans 2,0.192307692
147267815,Alice in Wonderland (2010),Alice in Wonderland 2,0.192307692
